DATE,LIQUID_VOLUME_sim,CUM_WATER_INJECTED_sim,LIQUID_VOLUME,PRIMARY_SUPPORT,WATER_VOLUME,NAME,TRAIN,ID,SUBZONE,PRODUCER,SIMULATION
2021-06-13,714.3423472854339,77.93349797419009,728.5014011,636.4088493112438,251.7112211,BG-0234P,True,0,LW,BG-0234P,xx1
2021-06-14,717.6418935033071,225.07414297050926,726.9865761,570.501248506988,249.4467367,BG-0234P,True,1,LW,BG-0234P,xx1
2021-06-15,716.0109993140109,429.6659894863227,694.9316591,511.4191527981974,239.3948134,BG-0234P,True,2,LW,BG-0234P,xx1
2021-06-16,717.6120751982191,688.8223636088545,710.0586542,458.4557010756873,246.7696549,BG-0234P,True,3,LW,BG-0234P,xx1
2021-06-17,716.4946341790271,994.3397617989586,712.6549268,410.97723598892304,246.0447781,BG-0234P,True,4,LW,BG-0234P,xx1
2021-06-18,715.2050838772786,1341.1291228380333,708.0996663,368.41572283820403,250.1178189,BG-0234P,True,5,LW,BG-0234P,xx1
2021-06-19,717.8413957183195,1728.7085649768735,717.3361795,330.2619535794793,251.2101706,BG-0234P,True,6,LW,BG-0234P,xx1
2021-06-20,718.9566889887649,2151.605799331463,716.1694314,296.0594546341752,251.5260971,BG-0234P,True,7,LW,BG-0234P,xx1
2021-06-21,722.168783457749,2608.3755571724405,726.7111781,265.3990256167716,256.0156235,BG-0234P,True,8,LW,BG-0234P,xx1
2021-06-22,725.1732977150626,3095.635011246311,730.1040995,237.91384364119213,258.367886,BG-0234P,True,9,LW,BG-0234P,xx1
2021-06-23,727.0836960817999,3609.4436326944206,728.6196322,213.27507463369017,258.5919224,BG-0234P,True,10,LW,BG-0234P,xx1
2021-06-24,728.6569027483057,4146.9125962969665,731.4659795,191.18793914576005,259.5846523,BG-0234P,True,11,LW,BG-0234P,xx1
2021-06-25,729.9021744792396,4705.42658517794,735.4717668,171.38818559826566,263.015514,BG-0234P,True,12,LW,BG-0234P,xx1
2021-06-26,730.2576870466106,5282.045343462046,737.5187581,153.63892876250495,264.2442849,BG-0234P,True,13,LW,BG-0234P,xx1
2021-06-27,729.4314230754203,5873.748950883824,736.2812227,137.72781565364173,267.2982564,BG-0234P,True,14,LW,BG-0234P,xx1
2021-06-28,727.6065705762347,6477.891036530945,733.2338052,123.46448492911405,269.5229073,BG-0234P,True,15,LW,BG-0234P,xx1
2021-06-29,725.0258991448512,7092.23864627966,732.4826922,110.67828939613602,268.0170062,BG-0234P,True,16,LW,BG-0234P,xx1
2021-06-30,721.4756415013344,7714.498033400734,727.2985422,99.21625438026064,269.5491368,BG-0234P,True,17,LW,BG-0234P,xx1
2021-07-01,716.9869881265159,8342.543773998426,719.0083597,88.94124752882432,267.6399501,BG-0234P,True,18,LW,BG-0234P,xx1
2021-07-02,713.7122287700751,8976.52566461579,717.3741134,79.73033815271127,264.3832868,BG-0234P,True,19,LW,BG-0234P,xx1
2021-07-03,710.6031694023692,9615.655507540638,715.087919,71.47332647752118,264.8179702,BG-0234P,True,20,LW,BG-0234P,xx1
2021-07-04,707.7469870583035,10259.331069390912,711.797795,64.07142520802935,264.6981362,BG-0234P,True,21,LW,BG-0234P,xx1
2021-07-05,705.1536700419119,10907.048661800713,709.2816579,57.436077632110724,264.7840751,BG-0234P,True,22,LW,BG-0234P,xx1
2021-07-06,702.7929384098991,11558.353702086746,705.4580632,51.487898123864944,270.9013217,BG-0234P,True,23,LW,BG-0234P,xx1
2021-07-07,700.6111859646603,12212.809165681336,699.9879325,46.15572237007012,263.9648343,BG-0234P,True,24,LW,BG-0234P,xx1
2021-07-08,701.8822077105907,12873.3156174351,702.2152048,41.37575595682668,264.7285771,BG-0234P,True,25,LW,BG-0234P,xx1
2021-07-09,703.6727695919151,13539.897575896975,705.1705265,37.090811130041004,267.2295282,BG-0234P,True,26,LW,BG-0234P,xx1
2021-07-10,706.3254262709952,14212.973379569657,706.2665646,33.249622598312634,274.2463426,BG-0234P,True,27,LW,BG-0234P,xx1
