Pair_Inj,Pair_Prod,Pair_Inj_Alloc,Pair_IE,Pair_Inj_Rate,Pair_Prod_Rate,Pair_VRR,Completion_ID,TAU,TAUP,WCUT,VP,KVAL,FO,WO,J,Pair_RE,Pair_Prod_Alloc
I1,P1,0.3861606887905973,0.10023173403383406,989.3436846815102,989.3436846815102,0.9999898923912097,WARA1,0.9538164008232398,0.9762405707687912,0.8242611235570098,110000.00000000016,45.0,0.01,0.0,0.0,1.0,0.3861606887905973
I2,P1,0.4121978080999902,0.04326368336109175,427.0369291915898,427.0369291915898,0.9999765833698443,WARA1,2.0,0.9762405707687912,0.8242611235570098,110000.00000000016,45.0,0.01,0.0,0.0,1.0,0.4121978080999902
I3,P1,0.2316303540863486,0.0322433577367248,318.260106514643,318.260106514643,0.9999685801468774,WARA1,0.1,0.9762405707687912,0.8242611235570098,110000.00000000016,45.0,0.01,0.0,0.0,1.0,0.2316303540863486
I1,P2,0.1654893275671614,0.03255340777857152,423.9836572270675,423.9836572270675,0.999976414741519,WARA1,0.1,1.9181725721243552,0.8404977297653249,110000.00000000016,45.0,0.0084468328915601,0.0,0.0,1.0,0.1654893275671614
I3,P2,0.4355258166912524,0.045946028562891476,598.4124721337809,598.4124721337809,0.9999832893975984,WARA1,1.9999999999981344,1.9181725721243552,0.8404977297653249,110000.00000000016,45.0,0.0084468328915601,0.0,0.0,1.0,0.4355258166912524
I4,P2,1.0,0.08100275711334755,1055.0,1055.0,0.9999905214168586,WARA1,2.0,1.9181725721243552,0.8404977297653249,110000.00000000016,45.0,0.0084468328915601,0.0,0.0,1.0,1.0
I2,P3,0.2088150892095116,0.02239421194208094,216.33243242105402,216.33243242105402,0.999953776982684,WARA1,2.0,1.6308477530203809,0.8186258760544148,110000.00000000016,45.0,0.01,0.0,0.0,1.0,0.2088150892095116
I3,P3,0.686499801788886,0.09764304165258376,943.2507276579294,943.2507276579294,0.9999893984773173,WARA1,2.0,1.6308477530203809,0.8186258760544148,110000.00000000016,45.0,0.01,0.0,0.0,1.0,0.686499801788886
I5,P3,0.4146431550320129,0.06133676683333093,592.5250685407464,592.5250685407464,0.9999831233617538,WARA1,0.5559200044821495,1.6308477530203809,0.8186258760544148,110000.00000000016,45.0,0.01,0.0,0.0,1.0,0.4146431550320129
I3,P4,0.4989218768146731,0.0739621947569206,685.5186587433608,685.5186587433608,0.9999854127178018,WARA1,1.9999656521098024,1.9999999850988344,0.7955881432106067,141444.8429971343,44.99749051145375,0.0,0.0,0.0,1.0,0.4989218768146731
I4,P4,0.7725984327981221,0.08794209195205668,815.0913466020188,815.0913466020188,0.9999877315869472,WARA1,1.776862564920766,1.9999999850988344,0.7955881432106067,141444.8429971343,44.99749051145375,0.0,0.0,0.0,1.0,0.7725984327981221
I5,P4,0.2757036010089747,0.04250746218810149,393.9804458418248,393.9804458418248,0.999974618673865,WARA1,0.3879328176225244,1.9999999850988344,0.7955881432106067,141444.8429971343,44.99749051145375,0.0,0.0,0.0,1.0,0.2757036010089747
